id,name,road,startLat,startLng,endLat,endLng,lengthM,widthM,heightM,lanes,diff
t299,강릉3터널(삼척),동해고속국도,37.68038,128.996204,37.68038,128.996204,140,11.8,7.5,2,1
t300,강릉3터널(속초),동해고속국도,37.68038,128.996204,37.68038,128.996204,140,11.8,7.5,2,1
t301,강릉4터널(삼척),동해고속국도,37.682006,128.985077,37.682006,128.985077,960,11.8,7.3,2,4
t302,강릉4터널(속초),동해고속국도,37.682006,128.985077,37.682006,128.985077,960,11.9,7.3,2,4
t303,강릉5터널(삼척),동해고속국도,37.689938,128.952762,37.689938,128.952762,2095,12.7,7.4,2,4
t304,강릉5터널(속초),동해고속국도,37.689938,128.952762,37.689938,128.952762,2075,12.7,7.4,2,4
t305,현남터널(속초),동해고속국도,37.993436,128.718938,37.993436,128.718938,958,11.6,7.3,2,4
t306,현남터널(삼척),동해고속국도,37.993436,128.718938,37.993436,128.718938,971,11.6,7.3,2,4
t307,현북터널(속초),동해고속국도,37.985287,128.723791,37.985287,128.723791,543,11.6,7.3,2,2
t308,현북터널(삼척),동해고속국도,37.985287,128.723791,37.985287,128.723791,550,11.6,7.3,2,2
t309,강현1터널(삼척),동해고속국도,38.125389,128.578821,38.125389,128.578821,140,11.6,8.5,2,1
t310,강현1터널(속초),동해고속국도,38.125389,128.578821,38.125389,128.578821,140,11.6,8.5,2,1
t311,기린1터널(서울),서울양양고속국도,37.938735,128.3227,37.938735,128.3227,118,12.2,7.3,2,1
t312,기린1터널(양양),서울양양고속국도,37.938735,128.3227,37.938735,128.3227,114,12.2,7.3,2,1
t313,기린2터널(서울),서울양양고속국도,37.938735,128.3227,37.938735,128.3227,431,15.3,7.3,2,2
t314,기린2터널(양양),서울양양고속국도,37.938735,128.3227,37.938735,128.3227,397,11.7,7.3,2,1
t315,기린3터널(서울),서울양양고속국도,37.940308,128.33389,37.940308,128.33389,146,12.8,7.3,2,1
t316,기린3터널(양양),서울양양고속국도,37.940308,128.33389,37.940308,128.33389,162,12.8,7.3,2,1
t317,기린4터널(서울),서울양양고속국도,37.942183,128.344995,37.942183,128.344995,727,11.6,7.4,2,3
t318,기린4터널(양양),서울양양고속국도,37.942183,128.344995,37.942183,128.344995,750,11.6,7.4,2,3
t319,기린5터널(서울),서울양양고속국도,37.945738,128.35532,37.945738,128.35532,1148,11.6,7.4,2,3
t320,기린5터널(양양),서울양양고속국도,37.945738,128.35532,37.945738,128.35532,1148,11.6,7.4,2,3
t321,기린6터널(서울),서울양양고속국도,37.965173,128.39295,37.965173,128.39295,2666,11.6,7.3,2,5
t322,기린6터널(양양),서울양양고속국도,37.965173,128.39295,37.965173,128.39295,2665,11.6,7.3,2,5
t323,내촌3터널(서울),서울양양고속국도,37.796073,128.157194,37.796073,128.157194,162,12.8,7.3,2,1
t324,내촌3터널(양양),서울양양고속국도,37.796073,128.157194,37.796073,128.157194,154,12.8,7.3,2,1
t325,내촌4터널(서울),서울양양고속국도,37.796073,128.157194,37.796073,128.157194,358,12.7,7.3,2,1
t326,내촌4터널(양양),서울양양고속국도,37.796073,128.157194,37.796073,128.157194,364,12.7,7.3,2,1
t327,내촌5터널(서울),서울양양고속국도,37.797048,128.168376,37.797048,128.168376,207,11.5,7.3,2,1
t328,내촌5터널(양양),서울양양고속국도,37.797048,128.168376,37.797048,128.168376,205,11.5,7.3,2,1
t329,상남2터널(서울),서울양양고속국도,37.832479,128.227007,37.832479,128.227007,115,9.2,7.7,2,1
t330,상남2터널(양양),서울양양고속국도,37.832479,128.227007,37.832479,128.227007,115,9.2,7.7,2,1
t331,상남3터널(서울),서울양양고속국도,37.856767,128.241391,37.856767,128.241391,1695,12.8,7.4,2,4
t332,상남3터널(양양),서울양양고속국도,37.856767,128.241391,37.856767,128.241391,1719,12.8,7.4,2,4
t333,상남4터널(서울),서울양양고속국도,37.874074,128.2471,37.874074,128.2471,1427,12.8,7.3,2,4
t334,상남4터널(양양),서울양양고속국도,37.874074,128.2471,37.874074,128.2471,1434,12.8,7.3,2,4
t335,상남5터널(서울),서울양양고속국도,37.888587,128.260303,37.888587,128.260303,1825,12.8,7.3,2,5
t336,상남5터널(양양),서울양양고속국도,37.888587,128.260303,37.888587,128.260303,1773,12.8,7.3,2,5
t337,상남6터널(서울),서울양양고속국도,37.903277,128.273336,37.903277,128.273336,1821,12.8,7.3,2,5
t338,상남6터널(양양),서울양양고속국도,37.903277,128.273336,37.903277,128.273336,1816,12.8,7.3,2,5
t339,상남7터널(서울),서울양양고속국도,37.92608,128.307406,37.92608,128.307406,2257,11.6,7.3,2,5
t340,상남7터널(양양),서울양양고속국도,37.92608,128.307406,37.92608,128.307406,2287,11.6,7.3,2,5
t341,서면1터널(서울),서울양양고속국도,37.981645,128.522123,37.981645,128.522123,110,11.6,7.3,2,1
t342,서면2터널(서울),서울양양고속국도,37.989067,128.528331,37.989067,128.528331,212,11.6,7.3,2,1
